Município,Luminosidade
SÃO PAULO,71344
APIAÍ,37870
ELDORADO,33643
SÃO JOSÉ DOS CAMPOS,28783
CAMPINAS,23580
JACAREÍ,20663
CARAGUATATUBA,20328
IPORANGA,17293
JUNDIAÍ,13860
RIBEIRÃO PRETO,13667
SOROCABA,13330
GUARULHOS,13185
GUARAREMA,11932
SÃO JOSÉ DO RIO PRETO,11165
MOGI DAS CRUZES,10581
ILHABELA,10061
PIRACICABA,9025
ITARIRI,9010
SÃO BERNARDO DO CAMPO,8797
ITAÓCA,8695
QUELUZ,8310
CAPÃO BONITO,7730
RIBEIRÃO BRANCO,7656
BAURU,7396
TAUBATÉ,6998
CRUZEIRO,6935
LAVRINHAS,6830
ARARAQUARA,6699
CAJATI,6694
PARAIBUNA,6660
PERUÍBE,6524
CANANÉIA,6059
PEDRO DE TOLEDO,5893
SANTO ANDRÉ,5808
PINDAMONHANGABA,5769
CUBATÃO,5744
FRANCA,5657
INDAIATUBA,5615
SETE BARRAS,5568
PIRACAIA,5469
PRAIA GRANDE,5404
COTIA,5367
ATIBAIA,5331
PAULÍNIA,5265
SÃO CARLOS,5244
SÃO SEBASTIÃO,5240
SUZANO,5238
PRESIDENTE PRUDENTE,5223
IGARATÁ,5206
ITUPEVA,5044
BOTUCATU,4948
NAZARÉ PAULISTA,4838
AMERICANA,4815
LIMEIRA,4800
MONTEIRO LOBATO,4733
GUARATINGUETÁ,4730
IGUAPE,4716
SUMARÉ,4698
BRAGANÇA PAULISTA,4556
ITANHAÉM,4371
CAÇAPAVA,4363
VALINHOS,4321
MARÍLIA,4220
MAUÁ,4205
SANTANA DE PARNAÍBA,4204
RIBEIRÃO GRANDE,4166
ITAQUAQUECETUBA,4104
PIQUETE,4010
TAPIRAÍ,4004
GUARUJÁ,3915
HORTOLÂNDIA,3879
OSASCO,3872
BARUERI,3850
SÃO VICENTE,3834
SANTOS,3743
ITU,3731
RIBEIRA,3625
BERTIOGA,3612
MAIRIPORÃ,3564
ARAÇATUBA,3502
ITAPETININGA,3447
RIO CLARO,3413
SANTA BÁRBARA D'OESTE,3278
BIRIGUI,3207
UBATUBA,3137
SALTO,3036
LORENA,3032
TEODORO SAMPAIO,3025
BARRETOS,3008
RIBEIRÃO PIRES,2904
ITATIBA,2792
ARARAS,2740
VINHEDO,2706
OURINHOS,2681
VOTORANTIM,2643
MOGI GUAÇU,2629
MOJI MIRIM,2627
EMBU,2553
JAÚ,2544
SERTÃOZINHO,2518
AREIAS,2483
ITAPIRA,2454
ASSIS,2393
CARAPICUÍBA,2323
CABREÚVA,2310
SÃO JOÃO DA BOA VISTA,2309
ITAPEVI,2301
CATANDUVA,2285
AVARÉ,2267
PRESIDENTE EPITÁCIO,2237
BOM JESUS DOS PERDÕES,2197
CACHOEIRA PAULISTA,2167
FRANCO DA ROCHA,2133
TATUÍ,2115
DIADEMA,2092
CASA BRANCA,2086
SÃO LOURENÇO DA SERRA,2081
ITAPEVA,2080
NOVA ODESSA,2053
BARRA DO TURVO,2051
MIRANTE DO PARANAPANEMA,2033
CAJAMAR,2007
FERRAZ DE VASCONCELOS,1996
ILHA COMPRIDA,1989
ITAPECERICA DA SERRA,1974
JAGUARIÚNA,1907
MIRASSOL,1894
IACANGA,1854
LENÇÓIS PAULISTA,1853
JABOTICABAL,1840
VOTUPORANGA,1803
CAIEIRAS,1798
MOCOCA,1785
BANANAL,1746
MATÃO,1740
ARUJÁ,1724
