Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3500105;Interior;Adamantina;39;2;;
3500204;Interior;Adolfo;3;0;;
3500303;Interior;Aguaí;21;3;;
3500402;Interior;Águas da Prata;1;0;;
3500501;Interior;Águas de Lindóia;15;1;;
3500550;Interior;Águas de Santa Bárbara;1;0;;
3500600;Interior;Águas de São Pedro;2;0;;
3500709;Interior;Agudos;23;1;;
3500758;Interior;Alambari;4;0;;
3500808;Interior;Alfredo Marcondes;2;1;;
3500907;Interior;Altair;1;0;;
3501004;Interior;Altinópolis;3;0;;
3501103;Interior;Alto Alegre;1;1;;
3501152;Interior;Alumínio;13;1;;
3501202;Interior;Álvares Florence;1;0;;
3501301;Interior;Álvares Machado;10;1;;
3501400;Interior;Álvaro de Carvalho;1;1;;
3501608;Interior;Americana;118;6;;
3501707;Interior;Américo Brasiliense;40;2;;
3501806;Interior;Américo de Campos;4;0;;
3501905;Interior;Amparo;37;1;;
3502101;Interior;Andradina;41;4;;
3502200;Interior;Angatuba;22;2;;
3502309;Interior;Anhembi;2;0;;
3502408;Interior;Anhumas;2;0;;
3502507;Interior;Aparecida;5;0;;
3502705;Interior;Apiaí;2;0;;
3502754;Interior;Araçariguama;13;1;;
3502804;Interior;Araçatuba;161;5;;
3502903;Interior;Araçoiaba da Serra;40;1;;
3503109;Interior;Arandu;10;2;;
3503208;Interior;Araraquara;232;4;;
3503307;Interior;Araras;106;3;;
3503406;Interior;Arealva;1;0;;
3503604;Interior;Areiópolis;10;2;;
3503703;Interior;Ariranha;2;0;;
3503802;Interior;Artur Nogueira;22;1;;
3503901;RMSP (exceto capital);Arujá;248;18;;
3504008;Interior;Assis;56;5;;
3504107;Interior;Atibaia;83;4;;
3504206;Interior;Auriflama;3;0;;
3504305;Interior;Avaí;2;0;;
3504404;Interior;Avanhandava;1;0;;
3504503;Interior;Avaré;56;5;;
3504602;Interior;Bady Bassitt;29;4;;
3504800;Interior;Bálsamo;2;0;;
3504909;Interior;Bananal;3;0;;
3505005;Interior;Barão de Antonina;1;0;;
3505203;Interior;Bariri;10;1;;
3505302;Interior;Barra Bonita;28;1;;
3505401;Interior;Barra do Turvo;9;1;;
3505500;Interior;Barretos;216;10;;
3505609;Interior;Barrinha;14;1;;
3505708;RMSP (exceto capital);Barueri;1159;126;;
3505807;Interior;Bastos;1;0;;
3505906;Interior;Batatais;13;1;;
3506003;Interior;Bauru;291;15;;
3506102;Interior;Bebedouro;19;1;;
3506359;Interior;Bertioga;59;5;;
3506409;Interior;Bilac;1;0;;
3506508;Interior;Birigui;56;1;;
3506607;RMSP (exceto capital);Biritiba Mirim;34;2;;
3506706;Interior;Boa Esperança do Sul;12;0;;
3506805;Interior;Bocaina;9;1;;
3506904;Interior;Bofete;5;1;;
3507001;Interior;Boituva;63;3;;
3507100;Interior;Bom Jesus dos Perdões;19;0;;
3507308;Interior;Boracéia;4;0;;
3507407;Interior;Borborema;10;0;;
3507456;Interior;Borebi;3;0;;
3507506;Interior;Botucatu;276;7;;
3507605;Interior;Bragança Paulista;235;12;;
3507753;Interior;Brejo Alegre;1;0;;
3507803;Interior;Brodowski;21;1;;
3507902;Interior;Brotas;4;0;;
3508009;Interior;Buri;5;0;;
3508108;Interior;Buritama;16;0;;
3508207;Interior;Buritizal;1;0;;
3508405;Interior;Cabreúva;52;4;;
3508504;Interior;Caçapava;48;3;;
3508603;Interior;Cachoeira Paulista;8;0;;
3508702;Interior;Caconde;1;0;;
3508900;Interior;Caiabu;2;1;;
3509007;RMSP (exceto capital);Caieiras;296;32;;
3509205;RMSP (exceto capital);Cajamar;257;22;;
3509254;Interior;Cajati;19;0;;
3509304;Interior;Cajobi;5;1;;
3509403;Interior;Cajuru;5;1;;
3509452;Interior;Campina do Monte Alegre;5;0;;
3509502;Interior;Campinas;1733;74;;
3509601;Interior;Campo Limpo Paulista;71;9;;
3509700;Interior;Campos do Jordão;33;1;;
3509809;Interior;Campos Novos Paulista;1;0;;
3509908;Interior;Cananéia;15;2;;
3509957;Interior;Canas;1;0;;
3510005;Interior;Cândido Mota;5;0;;
3510104;Interior;Cândido Rodrigues;3;0;;
3510203;Interior;Capão Bonito;18;4;;
3510302;Interior;Capela do Alto;34;0;;
3510401;Interior;Capivari;3;0;;
3510500;Interior;Caraguatatuba;159;4;;
3510609;RMSP (exceto capital);Carapicuíba;1016;76;;
3510708;Interior;Cardoso;2;0;;
3510807;Interior;Casa Branca;3;0;;
3510906;Interior;Cássia dos Coqueiros;2;0;;
3511003;Interior;Castilho;5;1;;
3511102;Interior;Catanduva;111;8;;
3511201;Interior;Catiguá;2;0;;
3511300;Interior;Cedral;3;0;;
3511409;Interior;Cerqueira César;5;0;;
3511508;Interior;Cerquilho;13;2;;
3511607;Interior;Cesário Lange;7;1;;
3511706;Interior;Charqueada;53;3;;
3557204;Interior;Chavantes;1;0;;
3512001;Interior;Colina;9;1;;
3512209;Interior;Conchal;5;0;;
3512308;Interior;Conchas;8;1;;
3512407;Interior;Cordeirópolis;44;0;;
3512506;Interior;Coroados;11;1;;
3512605;Interior;Coronel Macedo;1;0;;
3512803;Interior;Cosmópolis;22;1;;
3512902;Interior;Cosmorama;3;1;;
3513009;RMSP (exceto capital);Cotia;569;49;;
3513108;Interior;Cravinhos;21;1;;
3513405;Interior;Cruzeiro;26;2;;
3513504;Interior;Cubatão;352;30;;
3513603;Interior;Cunha;5;0;;
3513702;Interior;Descalvado;7;1;;
3513801;RMSP (exceto capital);Diadema;1156;83;;
3513900;Interior;Divinolândia;1;0;;
3514007;Interior;Dobrada;4;0;;
3514106;Interior;Dois Córregos;4;2;;
3514205;Interior;Dolcinópolis;2;0;;
3514304;Interior;Dourado;2;0;;
3514403;Interior;Dracena;29;2;;
3514502;Interior;Duartina;2;0;;
3514601;Interior;Dumont;4;0;;
3514809;Interior;Eldorado;3;1;;
3514908;Interior;Elias Fausto;5;1;;
3514924;Interior;Elisiário;1;0;;
3515004;RMSP (exceto capital);Embu das Artes;535;46;;
3515103;RMSP (exceto capital);Embu-Guaçu;123;10;;
3515129;Interior;Emilianópolis;4;0;;
3515152;Interior;Engenheiro Coelho;16;0;;
3515186;Interior;Espírito Santo do Pinhal;15;0;;
3557303;Interior;Estiva Gerbi;2;0;;
3515202;Interior;Estrela d'Oeste;1;0;;
3515350;Interior;Euclides da Cunha Paulista;1;0;;
3515400;Interior;Fartura;8;1;;
3515608;Interior;Fernando Prestes;2;0;;
3515509;Interior;Fernandópolis;59;0;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;401;43;;
3515905;Interior;Floreal;4;0;;
3516002;Interior;Flórida Paulista;6;0;;
3516200;Interior;Franca;76;2;;
3516309;RMSP (exceto capital);Francisco Morato;402;22;;
3516408;RMSP (exceto capital);Franco da Rocha;395;38;;
3516705;Interior;Garça;12;0;;
3516804;Interior;Gastão Vidigal;6;1;;
3516853;Interior;Gavião Peixoto;5;0;;
3516903;Interior;General Salgado;3;0;;
3517000;Interior;Getulina;1;0;;
3517208;Interior;Guaiçara;2;0;;
3517307;Interior;Guaimbê;2;0;;
3517406;Interior;Guaíra;25;0;;
3517505;Interior;Guapiaçu;38;2;;
3517604;Interior;Guapiara;4;1;;
3517703;Interior;Guará;1;1;;
3517802;Interior;Guaraçaí;4;0;;
3517901;Interior;Guaraci;1;0;;
3518008;Interior;Guarani d'Oeste;1;0;;
3518107;Interior;Guarantã;6;0;;
3518206;Interior;Guararapes;17;1;;
3518305;RMSP (exceto capital);Guararema;42;5;;
3518404;Interior;Guaratinguetá;28;2;;
3518503;Interior;Guareí;5;0;;
3518602;Interior;Guariba;8;0;;
3518701;Interior;Guarujá;663;51;;
3518800;RMSP (exceto capital);Guarulhos;2723;280;;
3518909;Interior;Guzolândia;1;0;;
3519006;Interior;Herculândia;6;0;;
3519055;Interior;Holambra;13;0;;
3519071;Interior;Hortolândia;149;12;;
3519105;Interior;Iacanga;2;0;;
3519204;Interior;Iacri;2;0;;
3519303;Interior;Ibaté;19;0;;
3519402;Interior;Ibirá;4;0;;
3519501;Interior;Ibirarema;5;0;;
3519600;Interior;Ibitinga;23;2;;
3519709;Interior;Ibiúna;73;3;;
3519907;Interior;Iepê;1;1;;
3520004;Interior;Igaraçu do Tietê;21;0;;
3520103;Interior;Igarapava;5;0;;
3520202;Interior;Igaratá;39;0;;
3520301;Interior;Iguape;38;0;;
3520426;Interior;Ilha Comprida;28;2;;
3520442;Interior;Ilha Solteira;11;0;;
3520400;Interior;Ilhabela;45;2;;
3520509;Interior;Indaiatuba;128;20;;
3520608;Interior;Indiana;11;0;;
3520707;Interior;Indiaporã;1;0;;
3520806;Interior;Inúbia Paulista;1;0;;
3521002;Interior;Iperó;13;0;;
3521101;Interior;Ipeúna;2;0;;
3521150;Interior;Ipiguá;5;2;;
3521309;Interior;Ipuã;18;0;;
3521408;Interior;Iracemápolis;32;0;;
3521507;Interior;Irapuã;2;0;;
3521606;Interior;Irapuru;10;1;;
3521705;Interior;Itaberá;1;0;;
3521804;Interior;Itaí;4;0;;
3521903;Interior;Itajobi;16;1;;
3522109;Interior;Itanhaém;78;11;;
3522208;RMSP (exceto capital);Itapecerica da Serra;465;33;;
3522307;Interior;Itapetininga;116;6;;
3522406;Interior;Itapeva;34;2;;
3522505;RMSP (exceto capital);Itapevi;533;64;;
3522604;Interior;Itapira;47;3;;
3522703;Interior;Itápolis;12;0;;
3522802;Interior;Itaporanga;2;0;;
3522901;Interior;Itapuí;7;1;;
3523008;Interior;Itapura;4;1;;
3523107;RMSP (exceto capital);Itaquaquecetuba;580;65;;
3523206;Interior;Itararé;4;0;;
3523305;Interior;Itariri;49;0;;
3523404;Interior;Itatiba;79;2;;
3523503;Interior;Itatinga;13;1;;
3523602;Interior;Itirapina;8;0;;
3523701;Interior;Itirapuã;2;0;;
3523800;Interior;Itobi;2;0;;
3523909;Interior;Itu;157;13;;
3524006;Interior;Itupeva;45;3;;
3524105;Interior;Ituverava;6;0;;
3524204;Interior;Jaborandi;14;1;;
3524303;Interior;Jaboticabal;31;5;;
3524402;Interior;Jacareí;204;9;;
3524501;Interior;Jaci;78;2;;
3524600;Interior;Jacupiranga;11;1;;
3524709;Interior;Jaguariúna;55;0;;
3524808;Interior;Jales;27;0;;
3524907;Interior;Jambeiro;6;1;;
3525003;RMSP (exceto capital);Jandira;236;14;;
3525102;Interior;Jardinópolis;28;3;;
3525201;Interior;Jarinu;26;5;;
3525300;Interior;Jaú;193;6;;
3525508;Interior;Joanópolis;3;0;;
3525706;Interior;José Bonifácio;18;1;;
3525904;Interior;Jundiaí;1001;57;;
3526001;Interior;Junqueirópolis;25;1;;
3526100;Interior;Juquiá;10;0;;
3526209;RMSP (exceto capital);Juquitiba;35;3;;
3526407;Interior;Laranjal Paulista;25;2;;
3526506;Interior;Lavínia;1;0;;
3526605;Interior;Lavrinhas;2;1;;
3526704;Interior;Leme;32;3;;
3526803;Interior;Lençóis Paulista;231;7;;
3526902;Interior;Limeira;155;4;;
3527009;Interior;Lindóia;3;0;;
3527108;Interior;Lins;29;6;;
3527207;Interior;Lorena;44;3;;
3527306;Interior;Louveira;59;2;;
3527405;Interior;Lucélia;31;5;;
3527603;Interior;Luís Antônio;5;0;;
3527900;Interior;Lutécia;1;0;;
3528007;Interior;Macatuba;25;1;;
3528106;Interior;Macaubal;4;0;;
3528304;Interior;Magda;8;0;;
3528403;Interior;Mairinque;41;3;;
3528502;RMSP (exceto capital);Mairiporã;131;13;;
3528601;Interior;Manduri;6;0;;
3528908;Interior;Mariápolis;1;0;;
3529005;Interior;Marília;62;1;;
3529203;Interior;Martinópolis;6;1;;
3529302;Interior;Matão;23;0;;
3529401;RMSP (exceto capital);Mauá;992;59;;
3529500;Interior;Mendonça;5;0;;
3529609;Interior;Meridiano;1;0;;
3529708;Interior;Miguelópolis;5;0;;
3529807;Interior;Mineiros do Tietê;10;1;;
3529906;Interior;Miracatu;33;4;;
3530102;Interior;Mirandópolis;35;4;;
3530300;Interior;Mirassol;24;1;;
3530508;Interior;Mococa;42;3;;
3530607;RMSP (exceto capital);Mogi das Cruzes;990;81;;
3530706;Interior;Mogi Guaçu;122;4;;
3530805;Interior;Mogi Mirim;17;1;;
3531001;Interior;Monções;2;0;;
3531100;Interior;Mongaguá;66;4;;
3531308;Interior;Monte Alto;41;1;;
3531407;Interior;Monte Aprazível;6;1;;
3531506;Interior;Monte Azul Paulista;7;0;;
